cohort,group,site,sex,ctl_bw6,ctl_median,n_ctl,n_tx,log_hr,se,hr,control_km_median,treated_km_median,median_gain_pct,control_cluster,sex_specific_control
C2011,Prot,TJL,f,30.795180722891565,890.0,96,48,-0.2249674151008095,0.1826670454618466,0.7985422387537945,892.0,887.0,-0.5605381165919282,C2011|TJL,C2011|TJL|f
C2011,Prot,UM,m,34.847058823529416,829.0,105,51,-0.1354224318217263,0.1763282793715782,0.8733469042295227,868.0,912.0,5.0691244239631335,C2011|UM,C2011|UM|m
C2011,Prot,UM,f,27.746,870.5,100,44,0.0241553344393033,0.1855956266044835,1.0244494378109168,873.0,872.0,-0.1145475372279496,C2011|UM,C2011|UM|f
C2011,Prot,UT,m,42.49797979797979,715.0,99,51,-0.370118251604795,0.1763739110356735,0.6906526550235011,715.0,816.0,14.125874125874127,C2011|UT,C2011|UT|m
C2011,Prot,UT,f,32.29347826086956,859.5,92,44,-0.1270295972086279,0.1869697394221584,0.8807076057246587,857.0,926.0,8.051341890315053,C2011|UT,C2011|UT|f
C2011,UDCA,TJL,m,41.25,767.0,102,54,-0.0872016264787051,0.1711255322625481,0.9164922878899434,771.0,860.0,11.543450064850843,C2011|TJL,C2011|TJL|m
C2011,UDCA,TJL,f,30.795180722891565,890.0,96,48,-0.0695349407199013,0.1796670772769714,0.9328275391493646,892.0,913.0,2.3542600896860986,C2011|TJL,C2011|TJL|f
C2011,UDCA,UM,m,34.847058823529416,829.0,105,51,0.1374968620261151,0.1860424986011958,1.1473981054611326,868.0,858.0,-1.152073732718894,C2011|UM,C2011|UM|m
C2011,UDCA,UM,f,27.746,870.5,100,44,0.1439008874040331,0.1862029716125125,1.1547696506350795,873.0,826.0,-5.383734249713632,C2011|UM,C2011|UM|f
C2011,UDCA,UT,m,42.49797979797979,715.0,99,51,-0.2401439340966072,0.1734243995801701,0.786514646643908,715.0,789.0,10.34965034965035,C2011|UT,C2011|UT|m
C2011,UDCA,UT,f,32.29347826086956,859.5,92,44,0.0518669629335536,0.1862212027570763,1.053235613816077,857.0,868.0,1.2835472578763127,C2011|UT,C2011|UT|f
C2013,ACA_hi,TJL,m,43.39795918367347,783.0,102,54,-0.6779678452665916,0.1767293600851367,0.5076475632697627,806.0,960.0,19.106699751861044,C2013|TJL,C2013|TJL|m
C2013,ACA_hi,TJL,f,32.40217391304348,889.5,96,48,-0.2729187322885321,0.1779644455371609,0.7611546424113639,891.0,938.0,5.274971941638609,C2013|TJL,C2013|TJL|f
C2013,ACA_hi,UM,m,38.45533980582525,796.0,108,54,-0.2287850864363518,0.184481024686987,0.7954994787630699,921.0,975.0,5.863192182410423,C2013|UM,C2013|UM|m
