cohort,group,init,weight_age,post_dosing,n_tx,diff_g,pct,p
C2011,Prot,,12,False,277,-1.1431272979651605,-2.718712395153795,0.09990043060473211
C2011,Prot,,18,False,258,-1.883668498232633,-4.312712690948741,0.003349910985384733
C2011,Prot,,24,False,203,-0.19974216764667335,-0.4837660579008292,0.6953684017845326
C2011,UDCA,5.0,6,True,286,-0.2755695854128464,-0.7967575116450034,0.8583663382926005
C2011,UDCA,5.0,12,True,268,-2.8441469873292893,-6.764266483580315,7.341534068476461e-06
C2011,UDCA,5.0,18,True,250,-4.2762354042730735,-9.790562784691852,1.1068877655967338e-08
C2011,UDCA,5.0,24,True,199,-3.5430993951287686,-8.581218714739444,2.070437468739336e-06
C2013,ACA_hi,8.0,6,False,316,0.7595502350029255,2.0825368585852786,0.11375334872864894
C2013,ACA_hi,8.0,12,True,312,-7.285803879472046,-17.206004579884674,4.203482363232558e-45
C2013,ACA_hi,8.0,18,True,308,-8.281646871919538,-19.066690641683923,6.270675488839266e-55
C2013,ACA_hi,8.0,24,True,273,-6.9996171475583235,-17.146118594492503,3.8278093397812e-37
C2013,ACA_lo,8.0,6,False,301,0.10261673092165183,0.28135482632171716,0.5456594674181667
C2013,ACA_lo,8.0,12,True,296,-2.9501145981199084,-6.966929953941335,6.463942733367008e-07
C2013,ACA_lo,8.0,18,True,280,-2.467536056426999,-5.680965074062557,0.00014551478086797604
C2013,ACA_lo,8.0,24,True,229,-2.8582096069868976,-7.001411628121738,2.3356923875236704e-05
C2013,ACA_mid,8.0,6,False,301,-0.6094309479079509,-1.6709393971499253,0.3255631561107379
C2013,ACA_mid,8.0,12,True,300,-5.846810477938134,-13.807707361512325,2.7923589373482864e-27
C2013,ACA_mid,8.0,18,True,290,-6.917982237694719,-15.927149422179692,7.825581753226267e-35
C2013,ACA_mid,8.0,24,True,256,-5.730425614137699,-14.037133046797662,2.0259351754443877e-22
C2014,Asp_200,11.0,6,False,191,0.23456063966247323,0.6133114556627022,0.5156735566398192
C2014,Asp_200,11.0,12,True,185,0.9094230408214944,2.114168220679566,0.11087607688625704
C2014,Asp_200,11.0,18,True,167,0.7163541924607688,1.603437218242089,0.30739018772449606
C2014,Asp_200,11.0,24,True,137,0.038272647792099254,0.09016347491362318,0.925982884581639
C2014,Asp_60,11.0,6,False,194,0.15419231191051022,0.40317041855749214,0.4480539481998698
C2014,Asp_60,11.0,12,True,185,0.7073092812212576,1.6443071457689262,0.1551430455258295
C2014,Asp_60,11.0,18,True,169,0.8057456237081768,1.8035247578454434,0.20007567804303394
C2014,Asp_60,11.0,24,True,119,0.22364329767467414,0.5268633873732942,0.765588598624921
C2014,Gly,9.0,6,False,190,-0.24015389361702427,-0.6279362739173469,0.7398140846673567
C2014,Gly,9.0,12,True,182,-2.1700646469711984,-5.044826783036454,0.00733445535109576
C2014,Gly,9.0,18,True,167,-2.2953848929851195,-5.13782931172632,0.0045816013338544695
C2014,Gly,9.0,24,True,140,-1.5883083574283643,-3.741768834965558,0.06796265405652302
C2014,Inu,11.0,6,False,193,0.45382824013339157,1.1866358267848096,0.24856988453071213
C2014,Inu,11.0,12,True,188,1.1195910596941288,2.6027533197576993,0.04448506555124619
