cohort,group,site,sex,ctl_bw6,ctl_median,n_ctl,n_tx,log_hr,se,hr
C2011,17aE2,TJL,f,30.795180722891565,890.0,96,48,0.1552095824925599,0.18030384720290304,1.1679027074174462
C2011,17aE2,UM,m,34.847058823529416,829.0,105,51,-0.5521006865128061,0.1916925322105215,0.5757390918105697
C2011,17aE2,UM,f,27.746000000000002,870.5,100,44,0.061165853027849874,0.18504509972204017,1.0630752138099206
C2011,17aE2,UT,m,42.49797979797979,715.0,99,51,-0.5367728100264351,0.1812069594424122,0.5846319295483727
C2011,17aE2,UT,f,32.29347826086956,859.5,92,44,-0.20487667966198803,0.18568006662173947,0.8147477851886294
C2011,Met,TJL,m,41.25,767.0,102,54,-0.2601381810304297,0.17100317236442103,0.7709450484618149
C2011,Met,TJL,f,30.795180722891565,890.0,96,48,0.08381307788858035,0.1776734311168632,1.0874256109191798
C2011,Met,UM,m,34.847058823529416,829.0,105,57,0.07256612526028282,0.18084667174199945,1.0752639058450308
C2011,Met,UM,f,27.746000000000002,870.5,100,52,-0.07925111562482413,0.1771341049672196,0.9238079127142019
C2011,Met,UT,m,42.49797979797979,715.0,99,51,-0.0721739837360116,0.178152300972681,0.930369012652405
C2011,Met,UT,f,32.29347826086956,859.5,92,44,0.12223477074282287,0.1901823477458617,1.1300193661269362
C2011,MetRapa,TJL,m,41.25,767.0,102,54,-0.8886937101393166,0.18183863469133688,0.4111925387211007
C2011,MetRapa,TJL,f,30.795180722891565,890.0,96,48,-1.0041174027446504,0.20033595907546434,0.3663678474063254
C2011,MetRapa,UM,m,34.847058823529416,829.0,105,57,-0.6080972174071817,0.1791022809265711,0.5443857318972162
C2011,MetRapa,UM,f,27.746000000000002,870.5,100,52,-1.0761301620805868,0.1906733568979423,0.34091225140174014
C2011,MetRapa,UT,m,42.49797979797979,715.0,99,51,-0.5391502221363305,0.1819687965910389,0.5832436694063502
