population,cohort,site,sex,id,group,dose,age_initiation,status,dead,age,Rx(ppm),Unnamed: 11,weight_42d,weight_6m,weight_12m,maternal_age_days,parity,Tx,entry,mean,std,weight_42d_z,arm,positive_m,positive_f,mouse
UM-HET3,C2004,UM,m,UM00623,Control,0,,dead,1,507,,,24.6,41.799999,36.700001,,,0,121.75,21.1257144,2.399558276603475,1.4478854853726582,C2004|Aspirin,True,False,C2004|UM00623
UM-HET3,C2004,UM,m,UM00630,Control,0,,dead,1,644,,,21.5,34.900002,37.5,,,0,121.75,21.1257144,2.399558276603475,0.155981041864836,C2004|Aspirin,True,False,C2004|UM00630
UM-HET3,C2004,UM,m,UM00637,Control,0,,dead,1,321,,,24.9,44.599998,,,,0,121.75,21.1257144,2.399558276603475,1.5729084960347042,C2004|Aspirin,True,False,C2004|UM00637
UM-HET3,C2004,UM,m,UM00721,Control,0,,dead,1,1121,,,21.299999,31.9,32.900002,,,0,121.75,21.1257144,2.399558276603475,0.07263195134676881,C2004|Aspirin,True,False,C2004|UM00721
UM-HET3,C2004,UM,m,UM00728,Control,0,,dead,1,970,,,23.9,40.400002,44.799999,,,0,121.75,21.1257144,2.399558276603475,1.1561651271612134,C2004|Aspirin,True,False,C2004|UM00728
UM-HET3,C2004,UM,m,UM00735,Control,0,,dead,1,893,,,22.200001,37.599998,39.5,,,0,121.75,21.1257144,2.399558276603475,0.4477018168196486,C2004|Aspirin,True,False,C2004|UM00735
UM-HET3,C2004,UM,m,UM00763,Control,0,,dead,1,1209,,,24.799999,38.900002,43.700001,,,0,121.75,21.1257144,2.399558276603475,1.5312337424039868,C2004|Aspirin,True,False,C2004|UM00763
UM-HET3,C2004,UM,m,UM00770,Control,0,,dead,1,1011,,,22.700001,35.299999,42.599998,,,0,121.75,21.1257144,2.399558276603475,0.656073501256394,C2004|Aspirin,True,False,C2004|UM00770
UM-HET3,C2004,UM,m,UM00777,Control,0,,dead,1,728,,,25.799999,39.799999,48.0,,,0,121.75,21.1257144,2.399558276603475,1.9479771112774775,C2004|Aspirin,True,False,C2004|UM00777
UM-HET3,C2004,UM,m,UM00924,Control,0,,dead,1,967,,,18.6,32.0,37.400002,,,0,121.75,21.1257144,2.399558276603475,-1.0525747278682869,C2004|Aspirin,True,False,C2004|UM00924
UM-HET3,C2004,UM,m,UM00931,Control,0,,dead,1,1103,,,22.0,40.299999,47.200001,,,0,121.75,21.1257144,2.399558276603475,0.3643527263015814,C2004|Aspirin,True,False,C2004|UM00931
UM-HET3,C2004,UM,m,UM01071,Control,0,,dead,1,972,,,24.6,32.299999,35.400002,,,0,121.75,21.1257144,2.399558276603475,1.4478854853726582,C2004|Aspirin,True,False,C2004|UM01071
UM-HET3,C2004,UM,m,UM01078,Control,0,,dead,1,765,,,22.4,32.299999,38.299999,,,0,121.75,21.1257144,2.399558276603475,0.5310500738509771,C2004|Aspirin,True,False,C2004|UM01078
UM-HET3,C2004,UM,m,UM01085,Control,0,,dead,1,790,,,24.0,35.799999,42.700001,,,0,121.75,21.1257144,2.399558276603475,1.197839464048563,C2004|Aspirin,True,False,C2004|UM01085
UM-HET3,C2004,UM,m,UM01190,Control,0,,dead,1,1135,,,21.700001,30.200001,36.200001,,,0,121.75,21.1257144,2.399558276603475,0.23933013238290315,C2004|Aspirin,True,False,C2004|UM01190
